Aplicativo, Bsize_X, Bsize_Y, Resultado Médio, Desvio Padrão, IC Inferior, IC Superior
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 14, 64, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 28, 32, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 56, 16, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 112, 8, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 224, 4, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 240, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 120, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 60, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 30, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 30, 32, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 60, 16, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 120, 8, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 240, 4, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 4, 256, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 8, 128, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 16, 64, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 32, 32, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 64, 16, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 128, 8, 0, 0, 0, 0
original_cudaMemPrefetchAsync_test.CUDA.pedrorigon.x, 256, 4, 0, 0, 0, 0
